,Weekly_Sales,Temperature,Fuel_Price,MarkDown1,MarkDown2,MarkDown3,MarkDown4,MarkDown5,CPI,Unemployment,Size,ln_Weekly_Sales
N,421570.0,421570.0,421570.0,421570.0,421570.0,421570.0,421570.0,421570.0,421570.0,421570.0,421570.0,421570.0
NMISS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SUM,6599482711.435999,25339774.069999993,1416586.7689999994,2518554873.100001,409480825.12,176015510.95999992,865445874.4100001,1580822803.7499995,72170888.64097801,3355684.861,57640387438.0,3595960.124812408
MEAN,15654.53592863925,60.108105581497846,3.3602646511843792,5974.226992192165,971.3234459756918,417.5238061507931,2052.911436779458,3749.8465349952185,171.1955040467366,7.959970730840199,136727.91573878596,8.529924152127219
MEDIAN,7612.03,62.09,3.452,5347.45,192.0,24.6,1481.31,3359.45,182.3187801,7.8660000000000005,140167.0,8.943648456721869
STD,20781.67090225029,18.297286219802242,0.45620538897131313,4515.7574418069225,4339.9853985332575,4425.522943230182,3214.228080636035,2589.570784501959,39.14964317830029,1.8594186642732629,60980.58332810464,1.9995454832984363
VAR,431877845.4894364,334.79068300936507,0.20812335692646713,20392065.273234602,18835473.25948188,19585253.32105673,10331262.15434921,6705876.847946093,1532.6945609882341,3.4574377690477647,3718631543.0359144,3.9981821397791775
CV,1.327517532105898,0.304406303322832,0.13576471984446709,0.7558730941607432,4.468115555651757,10.599450565536994,1.5656925199259513,0.6905804705165784,0.22868382786274796,0.2335961685222171,0.44599950930727256,0.23441538841817058
MIN,5.0,18.3,2.565,17.76,0.0,0.06,3.97,351.97,126.1119032,4.156000000000001,34875.0,1.962682848366487
P1,5.0,18.3,2.565,58.34,1.5,0.35,14.329999999999998,548.02,126.1119032,4.156000000000001,34875.0,1.976854952904735
P5,59.974500000000006,27.31,2.653,709.32,22.8,2.7,273.53,1288.81,126.4962581,5.3260000000000005,39690.0,4.212127597878484
P10,291.09700000000004,33.98,2.72,2565.8,96.94,7.17,696.47,2049.02,128.8238065,5.965,39910.0,5.744860436414047
P25,2079.65,46.68,2.9330000000000003,5347.45,192.0,24.6,1481.31,3359.45,132.0226667,6.891,93638.0,7.664289145447539
P50,7612.03,62.09,3.452,5347.45,192.0,24.6,1481.31,3359.45,182.3187801,7.8660000000000005,140167.0,8.943648456721869
P75,20205.8525,74.28,3.738,5347.45,192.0,24.6,1481.31,3359.45,212.41699280000003,8.572000000000001,202505.0,9.913727569148891
P90,42845.673000000046,83.58,3.917,8624.56,452.88,74.41,2828.8900000000003,5284.63,219.4442443,9.816,204184.0,10.6653599387136
P95,61201.951,87.27,4.029,12407.71,3789.5600000000004,216.17,5163.63,7456.15,221.94155759999998,12.187000000000001,206302.0,11.021934347075657
P99,106477.74646,92.81,4.202,28177.29,21813.16,2083.28,16822.46,15590.53,225.4735085,14.18,219622.0,11.575708564309693
MAX,106479.58599999998,92.81,4.202,41524.03,50366.6,63143.29,35785.26,27754.23,225.4735085,14.18,219622.0,11.576514456688002
