,Weekly_Sales,Temperature,Fuel_Price,MarkDown1,MarkDown2,MarkDown3,MarkDown4,MarkDown5,CPI,Unemployment,Size,ln_Weekly_Sales
N,421570.0,421570.0,421570.0,150681.0,111248.0,137091.0,134967.0,151432.0,421570.0,421570.0,421570.0,420285.0
NMISS,0.0,0.0,0.0,270889.0,310322.0,284479.0,286603.0,270138.0,0.0,0.0,0.0,1285.0
SUM,6737218987.11,25332166.05999999,1416907.953,1091897841.5400002,370970764.8400001,197331716.98000002,456616070.02000004,700974954.19,72173604.7221567,3355818.905000001,57640387438.0,-inf
MEAN,15981.258123467243,60.09005873281449,3.3610265270293107,7246.420195910699,3334.628621098572,1439.421384190147,3383.1682560926743,4628.975079177479,171.2019468229726,7.960288694642218,136727.91573878596,-inf
MEDIAN,7612.03,62.09,3.452,5347.45,192.0,24.6,1481.31,3359.45,182.3187801,7.8660000000000005,140167.0,8.943648456721869
STD,22711.18351916313,18.447931147614106,0.45851453712773876,8291.221345474767,9475.357325457915,9623.078290313179,6292.384030869798,5962.887455254558,39.1592756230151,1.863296038430238,60980.58332810464,
VAR,515797856.84110695,340.32616362711076,0.21023558075746454,68744351.39965641,89782396.44510897,92603635.78149682,39594096.79194525,35556026.80403217,1533.4488673192645,3.471872126829819,3718631543.0359144,
CV,1.4211136159432598,0.3070047115387475,0.1364209813401869,1.144181695418887,2.8415030284051004,6.685379553206619,1.85990868752625,1.2881658149505746,0.22873148553332073,0.23407392745496217,0.44599950930727256,
MIN,-4988.94,-2.06,2.472,0.27,-265.76,-29.1,0.22,135.16,126.064,3.8789999999999996,34875.0,-inf
P1,5.0,18.3,2.565,17.76,-0.99,0.06,3.97,351.97,126.1119032,4.156000000000001,34875.0,1.962682848366487
P5,59.974500000000006,27.31,2.653,149.19,1.9500000000000002,0.65,28.759999999999998,715.52,126.4962581,5.3260000000000005,39690.0,4.2034978761186235
P10,291.09700000000004,33.98,2.72,375.2,6.98,1.65,108.71,1070.83,128.8238065,5.965,39910.0,5.736572297479192
P25,2079.65,46.68,2.9330000000000003,2240.27,41.6,5.08,504.22,1878.44,132.0226667,6.891,93638.0,7.658019761425835
P50,7612.03,62.09,3.452,5347.45,192.0,24.6,1481.31,3359.45,182.3187801,7.8660000000000005,140167.0,8.943648456721869
P75,20205.8525,74.28,3.738,9210.9,1926.94,103.99,3595.04,5563.8,212.41699280000003,8.572000000000001,202505.0,9.916817315186574
P90,42845.673000000046,83.58,3.917,15282.47,8549.74,400.09,7871.42,8337.7,219.4442443,9.816,204184.0,10.667106943102516
P95,61201.951,87.27,4.029,21801.35,16497.47,1059.9,12645.96,11269.24,221.94155759999998,12.187000000000001,206302.0,11.023022298751837
P99,106479.58599999998,92.81,4.202,41524.03,50366.6,63143.29,35785.26,27754.23,225.4735085,14.18,219622.0,11.576514456688002
MAX,693099.36,100.14,4.468,88646.76,104519.54,141630.61,67474.85,108519.28,227.2328068,14.312999999999999,219622.0,13.448928644517972
